path	verdict	reason
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/bin/huggingface-cli	dismissed	venv/console-script executable shim — no prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/bin/tiny-agents	dismissed	venv/console-script executable shim — no prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/bin/transformers-cli	dismissed	venv/console-script executable shim — no prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/babel/messages/setuptools_frontend.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/cffi/setuptools_ext.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/fastapi/cli.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/fastapi/testclient.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/CHANGELOG.md	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/atoms/src/Toolbar.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/client/src/client.ts	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/dataframe/shared/Toolbar.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/icons/src/Paperclip.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/icons/src/Prompt.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/icons/src/Tool.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/imageeditor/shared/SecondaryToolbar.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/imageeditor/shared/Toolbar.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/imageeditor/shared/brush/BRUSH_TOOL.md	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/tooltip/src/Tooltip.svelte	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/_frontend_code/tooltip/src/tooltip.ts	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/blocks.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/cli/cli.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/cli/commands/cli_env_info.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
/Users/josephwecker-v2/src-ext/Kokoro-82M-WebUI/MyEnv/lib/python3.13/site-packages/gradio/mcp.py	dismissed	inside build/vendor/cache dir — compiled or third-party dependency artifact, no authored prose
